horizon,experiment,feature_count,MAE,RMSE,R2,Bias,MedAE,MAE_improvement_pct,RMSE_improvement_pct
6h,Champion,47,33.504177751109005,52.90905981096811,0.7569974816926084,0.19037731795546714,20.77695083618164,0.0,0.0
6h,Champion + atmospheric transport,52,33.60007512959864,53.069522233076604,0.7555212921182041,0.3819456644420423,20.876649856567383,-0.2862251364651514,-0.30327967021487434
6h,Champion + particle composition,48,33.50508709208848,52.9922543931685,0.7562326830991261,0.13170510835292518,20.728805541992188,-0.0027141122108144105,-0.15724071169971032
24h,Champion,44,39.293662984242864,62.088326358445826,0.6657557837893758,-0.8230790852051642,23.626443176269532,0.0,0.0
24h,Champion + atmospheric transport,49,39.13941818519184,61.94392993156315,0.6673086537369342,-1.268708084006276,23.60622215270996,0.3925437012906504,0.23256614463893796
24h,Champion + particle composition,45,39.07952555545088,61.62407894637494,0.6707355245759109,-0.6105409077472154,23.57919692993164,0.544966828055346,0.7477209312918426
72h,Champion,42,44.8937956658972,70.13126113693602,0.5778557028967222,0.6390201365263033,27.578954696655273,0.0,0.0
72h,Champion + atmospheric transport,47,44.9128231414189,70.16291601966257,0.5774745335354685,0.7107415688459721,27.602731704711914,-0.04238330762517824,-0.045136622689200004
72h,Champion + particle composition,43,44.89989936410914,70.09538627221612,0.5782874788505181,0.9547882790566016,27.626962661743164,-0.013595861346547134,0.051153885069673374
