horizon,experiment,feature_count,test_MAE,test_RMSE,test_R2,test_Bias,test_MedAE,MAE_change_vs_baseline_pct,RMSE_change_vs_baseline_pct
6,Baseline,42,35.478525300650915,55.16148402419756,0.735867057765846,3.6072191036544856,22.499107360839844,0.0,0.0
6,A_atmospheric_transport,47,35.91120076648876,55.84509372590168,0.7292797551158829,2.8752152319459605,22.7763313293457,-1.2195418557318336,-1.239288089864001
6,B_pm25_dynamics,47,35.36769840265186,54.95243537861432,0.737865263795938,3.404756374989588,22.30453109741211,0.31237740875610964,0.3789757459961408
6,C_particle_composition,43,35.338905480597724,55.01981813775276,0.7372220096402261,3.2899074749032438,22.311180114746094,0.3935333243702486,0.25682029581122406
6,D_meteorological_interactions,44,35.44995828398359,55.65810257179326,0.7310896738060575,1.1986300595878767,22.09233283996582,0.08051917723536295,-0.9002994686978405
6,E_pollution_transport_interaction,43,35.831033211321035,55.45300153506812,0.7330679002576446,4.112444765300091,22.73839569091797,-0.993581068217772,-0.5284801814662494
24,Baseline,42,39.32441608865797,61.4493647660878,0.6725999134481622,0.4903477605665102,24.067325592041016,0.0,0.0
24,A_atmospheric_transport,47,39.24091532289723,61.57887691430511,0.671218386633841,-0.1423559157358897,24.02651023864746,0.21233822155803767,-0.21076238739052025
24,B_pm25_dynamics,47,39.36027924312175,61.51647740760631,0.6718843752619607,0.7650846848316076,24.109106063842773,-0.09119818685401104,-0.10921616809869844
24,C_particle_composition,43,39.41453928547704,61.55061100363979,0.6715201517608239,0.9082875902712758,24.119686126708984,-0.22917872859417984,-0.16476368460014618
24,D_meteorological_interactions,44,39.27611773382769,61.737829987596946,0.6695188331256422,-0.2712833645391382,23.860441207885742,0.12282027207063881,-0.46943564446470115
24,E_pollution_transport_interaction,43,39.32342511579084,61.48004577195412,0.672272897158066,0.5971336297535648,24.127117156982422,0.0025199938503720635,-0.04992892275308316
72,Baseline,42,45.872403763898376,71.9339256686286,0.5558750691510406,-1.1551830072553295,27.37264633178711,0.0,0.0
72,A_atmospheric_transport,47,45.64632483754239,71.40143724067772,0.5624259719231803,-1.38613851747312,27.58590316772461,0.49284299013323757,0.7402465846280185
72,B_pm25_dynamics,47,45.53210082867983,71.52006486517806,0.5609707774552142,-1.5566447297063555,27.234375,0.7418467472732796,0.5753346555240724
72,C_particle_composition,43,45.50256707460086,71.46631708315948,0.5616303959946427,-1.547016295608724,27.187896728515625,0.8062291463971117,0.6500529216537018
72,D_meteorological_interactions,44,45.84405259151835,71.74418012206812,0.5582149827128936,-1.0114172214852477,27.64954376220703,0.06180441846027649,0.263777549739981
72,E_pollution_transport_interaction,43,45.76575264361527,71.72387748555617,0.5584649857513941,-0.9011847884514905,27.337200164794922,0.23249516382884272,0.29200155715126713
